CNTYVTD,VTDKEY,CarterR_22G_U.S. Rep 31
0270101,189,1887
0270102,190,1133
0270103,191,937
0270104,192,1766
0270105,193,803
0270107,195,222
0270108,196,896
0270110,198,184
0270111,199,1448
0270113,200,1373
0270114,201,888
0270115,202,2125
0270118,205,1092
0270119,206,910
0270201,207,836
0270202,208,1283
0270203,209,2193
0270212,218,454
0270213,219,2456
0270216,222,996
0270301,223,1941
0270302,224,1401
0270303,225,1512
0270304,226,166
0270305,227,868
0270306,228,694
0270307,229,468
0270308,230,1240
0270309,231,666
0270310,232,297
0270311,233,1644
0270312,234,1003
0270313,235,1869
0270314,236,783
0270315,237,1591
0270317,238,703
0270318,239,1770
0270319,240,1504
0350001,1055,409
0350002,1056,404
0350003,1057,531
0350004,1058,289
0350005,1059,830
0350006,1060,644
0350007,1061,408
0350008,1062,1081
0350009,1063,467
0350010,1064,641
0350011,1065,473
0530001,1353,806
0530002,1354,1434
0530003,1355,516
0530004,1356,1370
0530005,1357,575
0530006,1358,296
0530007,1359,365
0530008,1360,677
0530009,1361,1501
0530010,1362,881
0530011,1363,335
0530012,1364,936
0530013,1365,581
0530014,1366,314
0530015,1367,478
0530016,1368,329
0530017,1369,1150
0530018,1370,562
0530019,1371,1920
0530020,1372,1559
0990101,1985,1683
0990102,1986,769
0990103,1987,192
0990104,1988,1456
0990205,1989,1114
0990206,1990,432
0990207,1991,1250
0990308,1992,1890
0990309,1993,402
0990310,1994,468
0990311,1995,21
0990412,1996,974
0990413,1997,1146
0990414,1998,240
0990415,1999,138
0990416,2000,797
1930001,4192,484
1930004,4193,67
1930005,4194,88
1930007,4195,793
1930009,4196,105
1930012,4197,142
1930014,4198,114
1930015,4199,106
1930017,4200,103
1930022,4201,543
1930023,4202,499
4910119,9464,1057
4910182,9489,360
4910184,9490,359
4910191,9493,205
4910192,9494,122
4910201,9496,974
4910202,9497,166
4910203,9498,70
4910204,9499,1003
4910205,9500,132
4910206,9501,1152
4910207,9502,1613
4910208,9503,699
4910209,9504,1714
4910210,9505,1301
4910229,9507,144
4910230,9508,1274
4910231,9509,633
4910243,9510,972
4910244,9511,1336
4910245,9512,1589
4910251,9513,39
4910252,9514,1543
4910253,9515,1603
4910254,9516,1216
4910255,9517,992
4910256,9518,666
4910257,9519,1363
4910258,9520,187
4910259,9521,760
4910261,9522,867
4910262,9523,861
4910263,9524,1069
4910264,9525,859
4910267,9527,1237
4910276,9528,580
4910277,9529,1471
4910278,9530,1015
4910279,9531,32
4910283,9532,839
4910284,9533,1307
4910287,9534,722
4910301,9535,1408
4910302,9536,259
4910305,9538,490
4910306,9539,2273
4910307,9540,386
4910308,9541,349
4910309,9542,1676
4910310,9543,821
4910311,9544,78
4910312,9545,502
4910314,9546,1175
4910318,9548,101
4910319,9549,60
4910320,9550,621
4910331,9554,203
4910332,9555,1006
4910333,9556,249
4910341,9559,958
4910342,9560,566
4910343,9561,1563
4910344,9562,966
4910345,9563,641
4910346,9564,782
4910360,9565,1199
4910367,9566,35
4910368,9567,983
4910369,9568,1252
4910370,9569,882
4910371,9570,969
4910372,9571,1589
4910379,9572,1736
4910380,9573,59
4910381,9574,1830
4910390,9575,1002
4910390,9576,0
4910391,9577,678
4910392,9578,1694
4910393,9579,1649
4910394,9580,1775
4910395,9581,653
4910396,9582,972
4910397,9583,1293
4910401,9586,1207
4910402,9587,1183
4910403,9588,751
4910409,9589,307
4910410,9590,1288
4910411,9591,1120
4910412,9592,723
4910415,9594,851
4910419,9596,310
4910420,9597,873
4910422,9599,1233
4910424,9600,1583
4910425,9601,213
4910427,9603,888
4910428,9604,1044
4910429,9605,620
4910432,9606,91
4910433,9607,1623
4910434,9608,640
4910436,9609,553
4910437,9610,1535
4910456,9611,543
4910468,9612,289
4910470,9613,1161
4910471,9614,117
4910472,9615,268
4910473,9616,314
4910482,9617,1290
4910484,9618,1019
4910485,9619,565
4910486,9620,590
4910487,9621,62
4910488,9622,997
4910491,9625,1063
